Report,Label,Feature,Sentence
report01.pdf.txt_sent.csv,,,"Dear Madam, Please accept this letter as my considered opinion to the questions posed under your Terms of Reference received by myself on [7 May 2008] with respect to S197(1)(b) of the Securities and Futures Act (chapter 289, 2002 Revised Edition)."
report01.pdf.txt_sent.csv,,,Glossary and Facts provided to myself and used in this report:
report01.pdf.txt_sent.csv,,,"AIM? or ?the Company? means Advanced Integrated Manufacturing Corp Ltd an electronics manufacturing services provider, specializing in medium and high-end application for aerospace-avionics, medical, life sciences, data storage, semi-conductor and fiber optics industries and which was listed on the SGX main board on 26 May 2005 with an initial public offering price of $0.20; b. ?"
report01.pdf.txt_sent.csv,,,"Teo? shall mean Mrs. Teo Siew Ling, the wife of Vincent; c."
report01.pdf.txt_sent.csv,,,Intraday Price? means the change in the price between the day?s opening price and the day?s closing price during the Relevant Period.
report01.pdf.txt_sent.csv,,,For example on the 27/3/2006 the opening price of the Shares was 33 cents and the closing price was 36 cents.
report01.pdf.txt_sent.csv,,,The Intraday price was thus 3 cents.
report01.pdf.txt_sent.csv,,,Note the opening 12 price is not necessarily the same as the previous day?s closing price.
report01.pdf.txt_sent.csv,,,The closing price of the 26/3/2006 was 32.5 cents.
report01.pdf.txt_sent.csv,,,d. ?Market Days? means the days on which the Singapore Stock Exchange was open for trading;
report01.pdf.txt_sent.csv,,,Relevant Period? means the 15 February 2006 and 31 October 2006 inclusive; f. ?
report01.pdf.txt_sent.csv,,,"SESMANU? means the SES Manufacturing Index; g. ?SFA? means Securities and Futures Act (chapter 289, 2002 Revised Edition);"
report01.pdf.txt_sent.csv,,,SGX? shall mean the Singapore Exchanged Limited and its subsidiaries the Singapore Stock Exchange and the Singapore International Monetary Exchange; i. ?Share(s)? or ?
report01.pdf.txt_sent.csv,,,"AIM Shares? means the ordinary, issued and fully paid shares of AIM and which are listed on the SGX;"
report01.pdf.txt_sent.csv,,,j. ?STI? means the Straits Times Index;
report01.pdf.txt_sent.csv,,,Vincent? shall mean Dr. Vincent Tan Kim Yong or Vincent Tan Kim Yong and Teo Siew Ling.
report01.pdf.txt_sent.csv,,,Thus when the report speaks of Vincent?s action it means either the action of Vincent Tan Kim Yong solely or the actions of Vincent Tan Kim Yong and Teo Siew Ling jointly.
report01.pdf.txt_sent.csv,,,74 Days? means the 74 days during the Relevant Period on which Vincent executed a trade; m. One
report01.pdf.txt_sent.csv,,,folder of information and further supplementary data by way of e-mail and as listed in Appendix 1.
report01.pdf.txt_sent.csv,,,"Having regard to the prevailing market conditions, a."
report01.pdf.txt_sent.csv,,,"What appearance did the orders and trades conducted by Vincent create, or were likely to create, with respect to the market for AIM shares?"
