Row,ReportTime,TimeEntered,Filled,BrokerName,Trader,Client,TraderName,BidPrice,AskPrice,AskBroker,AskBrokerName,AskClient,AskTrader,TransVal,Security,Security Name,BidBroker,BidBrokerName,BidClient,BidTrader,Long Name,Date,Price,Active,Annfo Id,Annfo Securities,Annfo Title,Annfo Type,AskBrokerShortName,AskFlags,AskOrderId,AskPretradeVol,AskTimeEntered,AskTradedQty,BestAskQuoteVol,BestAskVol,BestBidPrice,BestBidQuotePrice,BestBidQuoteVol,BestBidVol,BidBrokerShortName,BidFlags,BidOrderId,BidPretradeVol,BidTimeEntered,BidTradedQty,Long Name[Ask],Long Name[Bid],BrokerShortName,BS,ChangeVol,Security long name,Instrument Type,CounterBroker,CounterBrokerName,CounterClient,CounterTrader,Currency,DateOfMat,DaysToMat,DeleteReason,DeltaVol,DiscVol,EntryId,FAV Source Midfix,Security FD,Flags,Security FM,Security IG,Maturity date,Security MK,Number of Attachments,OrderId,Security PV,PrevPrice,Security PB,PriceTik,Security PY,Underlying instrument,RemainingVol,Session,Security MS,Tik table,Security TV,Time,TradedQty,TradeId,TransVol,Type,UndiscVol
1,,8:30:00,F,UOB KAY HIAN PTE LTD,05-091900,05-0264681,TAN JOKE KIM,0.03,,,,,,90090,GOLDTRON,GOLDTRON LIMITED,5,UOB KAY HIAN PTE LTD,05-0264681,05-091900,UOB KAY HIAN PTE LTD,4/26/2007,0.015,Y,,,,,,,,,,,0,0,,,3003000,0,UOB,FF,71,,8:30:00,,,UOB KAY HIAN PTE LTD,UOB,Bid,0 + 3003000,GOLDTRON LIMITED,,,,,,SGD,,,,3003000,3003000,71,,,FF,,,,,,71,,0.035,,-0.005,,,3003000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,3003000,ENTER,0
2,,8:30:00,F,DBS VICKERS SECURITIES (S) PTE LTD,29-073804,29-0810635,KOH KONG GUAN,,0.035,29,DBS VICKERS SECURITIES (S) PTE LTD,29-0810635,29-073804,7000,GOLDTRON,GOLDTRON LIMITED,,,,,DBS VICKERS SECURITIES (S) PTE LTD,4/26/2007,0.0175,Y,,,,,DBS,,243,,8:30:00,,200000,0,0.03,0.03,0,3003000,,,,,,,DBS VICKERS SECURITIES (S) PTE LTD,,DBS,Ask,0 + 200000,GOLDTRON LIMITED,,,,,,SGD,,,,200000,200000,243,,,,,,,,,243,,0.035,,0,,,200000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,200000,ENTER,0
3,,8:30:00,F,LIM AND TAN SECURITIES PTE LTD,12-203100,12-0060504,YAP SWEE TOONG WILLIAM,,0.035,12,LIM AND TAN SECURITIES PTE LTD,12-0060504,12-203100,7000,GOLDTRON,GOLDTRON LIMITED,,,,,LIM AND TAN SECURITIES PTE LTD,4/26/2007,0.0175,Y,,,,,LIM,CP,251,,8:30:00,,200000,200000,0.03,0.03,0,3003000,,,,,,,LIM AND TAN SECURITIES PTE LTD,,LIM,Ask,0 + 200000,GOLDTRON LIMITED,,,,,,SGD,,,,200000,200000,251,,,CP,,,,,,251,,0.035,,0,,,200000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,200000,ENTER,0
4,,8:30:00,F,KIM ENG SECURITIES PTE. LTD.,21-249000,21-0640782,ANG K S ANDREW,0.03,,,,,,15000,GOLDTRON,GOLDTRON LIMITED,21,KIM ENG SECURITIES PTE. LTD.,21-0640782,21-249000,KIM ENG SECURITIES PTE. LTD.,4/26/2007,0.015,Y,,,,,,,,,,,0,400000,0.03,0.03,500000,3003000,KIM,,296,,8:30:00,,,KIM ENG SECURITIES PTE. LTD.,KIM,Bid,0 + 500000,GOLDTRON LIMITED,,,,,,SGD,,,,500000,500000,296,,,,,,,,,296,,0.035,,-0.005,,,500000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,500000,ENTER,0
5,,8:30:00,F,UOB KAY HIAN PTE LTD,05-273600,05-0316334,HAN M J JOHN,0.03,,,,,,6000,GOLDTRON,GOLDTRON LIMITED,5,UOB KAY HIAN PTE LTD,05-0316334,05-273600,UOB KAY HIAN PTE LTD,4/26/2007,0.015,Y,,,,,,,,,,,0,400000,0.03,0.03,200000,3503000,UOB,,302,,8:30:00,,,UOB KAY HIAN PTE LTD,UOB,Bid,0 + 200000,GOLDTRON LIMITED,,,,,,SGD,,,,200000,200000,302,,,,,,,,,302,,0.035,,-0.005,,,200000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,200000,ENTER,0
6,,8:30:00,F,UOB KAY HIAN PTE LTD,05-189100,05-0000001,HOWE KOK KHIONG,,0.035,5,UOB KAY HIAN PTE LTD,05-0000001,05-189100,52500,GOLDTRON,GOLDTRON LIMITED,,,,,UOB KAY HIAN PTE LTD,4/26/2007,0.0175,Y,,,,,UOB,RA,320,,8:30:00,,1500000,400000,0.03,0.03,0,3703000,,,,,,,UOB KAY HIAN PTE LTD,,UOB,Ask,0 + 1500000,GOLDTRON LIMITED,,,,,,SGD,,,,1500000,1500000,320,,,RA,,,,,,320,,0.035,,0,,,1500000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,8888000,ENTER,0
7,,8:30:00,F,UOB KAY HIAN PTE LTD,05-160900,05-0640237,TONG T K LIONEL,,0.035,5,UOB KAY HIAN PTE LTD,05-0640237,05-160900,105700,GOLDTRON,GOLDTRON LIMITED,,,,,UOB KAY HIAN PTE LTD,4/26/2007,0.0175,Y,,,,,UOB,FF RA,326,,8:30:00,,3020000,1900000,0.03,0.03,0,3703000,,,,,,,UOB KAY HIAN PTE LTD,,UOB,Ask,0 + 3020000,GOLDTRON LIMITED,,,,,,SGD,,,,3020000,3020000,326,,,FF RA,,,,,,326,,0.035,,0,,,3020000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,3020000,ENTER,0
8,,8:30:00,F,UOB KAY HIAN PTE LTD,05-129700,05-0515014,KOH CHIN HIN,,0.035,5,UOB KAY HIAN PTE LTD,05-0515014,05-129700,17010,GOLDTRON,GOLDTRON LIMITED,,,,,UOB KAY HIAN PTE LTD,4/26/2007,0.0175,Y,,,,,UOB,RA,328,,8:30:00,,486000,4920000,0.03,0.03,0,3703000,,,,,,,UOB KAY HIAN PTE LTD,,UOB,Ask,0 + 486000,GOLDTRON LIMITED,,,,,,SGD,,,,486000,486000,328,,,RA,,,,,,328,,0.035,,0,,,486000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,486000,ENTER,0
9,,8:30:00,F,AMFRASER SECURITIES PTE. LTD.,01-316200,01-0111118,LIM YONG CHUAN,0.03,,,,,,75000,GOLDTRON,GOLDTRON LIMITED,1,AMFRASER SECURITIES PTE. LTD.,01-0111118,01-316200,AMFRASER SECURITIES PTE. LTD.,4/26/2007,0.015,Y,,,,,,,,,,,0,5406000,0.03,0.03,2500000,3703000,AMFRASER,,342,,8:30:00,,,AMFRASER SECURITIES PTE. LTD.,AMFRASER,Bid,0 + 2500000,GOLDTRON LIMITED,,,,,,SGD,,,,2500000,2500000,342,,,,,,,,,342,,0.035,,-0.005,,,2500000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,2500000,ENTER,0
10,,8:30:00,F,UOB KAY HIAN PTE LTD,05-169400,05-2123795,CHEN SWEE NYEN,,0.035,5,UOB KAY HIAN PTE LTD,05-2123795,05-169400,10500,GOLDTRON,GOLDTRON LIMITED,,,,,UOB KAY HIAN PTE LTD,4/26/2007,0.0175,Y,,,,,UOB,,396,,8:30:00,,300000,5406000,0.03,0.03,0,6203000,,,,,,,UOB KAY HIAN PTE LTD,,UOB,Ask,0 + 300000,GOLDTRON LIMITED,,,,,,SGD,,,,300000,300000,396,,,,,,,,,396,,0.035,,0,,,300000,NoSession,,"0.005to1,0.01to10,0.02",,8:30:00,0,,300000,ENTER,0
