ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,Label
Anwell,0.38561487,0.383907669,0.244372394,0.049682771,0,0,0,0.297653235,0.371552888,0,0,0,0,0.313541916,0.014543956,0,0,0.168765466,0,0,0,0,0,0.536729904,0,0,1
Goldtron,0.029006888,0.030329729,0.051804623,0.328506667,0,0,0,0.190300545,0.089114453,0.029664451,0,0,0,0.066823159,0.385397534,0,0,0.626091786,0,0,0.545541179,0,0,0,0,0,1
Centillion ,0.138681641,0.160905928,0.573568679,0.414732167,0,0,0,0.56139479,0.103439574,0,0,0,0,0.215163438,0.285891106,0,0,0,0,0,0,0,0,0,0,0,1
Keda,0.132240924,0.134132489,0.176557737,0.120262248,0.344092229,0.344092229,0,0.099967882,0.172151876,0.144429699,0.357591134,0,0.357591134,0.107386968,0.018013594,0.247563093,0.212526266,0.100158543,0,0.16359641,0,0.306631868,0,0.092329634,0.252855116,0.210388173,1
IPCO,0.098725651,0.094625643,0,0.205574941,0,0,0,0.100210145,0.066800931,0.287224266,0,0,0,0.253677582,0.358232501,0,0,0,0.394466099,0.361489663,0,0,0.474089249,0,0,0.371906205,1
RSH,0.253076593,0.257331415,0.302630185,0.219739371,0.117958801,0.117958801,0,0.158812879,0.297477295,0.22280478,0,0,0,0.180634922,0.074617828,0,0.375666151,0.111963615,0.339993451,0,0.341455795,0,0,0.316516678,0,0.120205837,1
Sincere,0.168596027,0.170698257,0.139949163,0.232589792,0,0,0,0.198421919,0.289924561,0.293839061,0,0,0,0.218192414,0.019434684,0.305249511,0.270237524,0.136920798,0,0.302575742,0,0.340274086,0,0,0.467661999,0,1
C&G,0.351630213,0.337027253,0,0.23088692,0,0,0,0.074197907,0.054760341,0.565087888,0,0,0,0.393377164,0.01305167,0,0.288721828,0.378623131,0,0,0,0,0,0,0,0,0
OLAM,0.428951506,0.42347157,0.168538163,0.079543967,0,0,0,0.081462208,0.051437385,0.096508607,0,0,0,0.138626215,0.060183842,0.551409428,0.244081502,0,0,0,0.443708028,0,0,0,0,0,0
M1,0.312249839,0.303220244,0,0.252007104,0.220224099,0.220224099,0,0.452547955,0.080619321,0,0,0,0,0.347981646,0.264205459,0.352097841,0.191278045,0,0,0,0,0,0,0.295461633,0,0,0
