ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,Label
Anwell,-4.52E-02,0,3.68E-01,9.89E-02,0,0,0,3.97E-01,6.31E-01,0,0,0,0,0.175251667,6.43E-03,0,0,1.21E-01,0,0,0,0,0,1.67E-01,0,0,1
Goldtron,-3.21E-03,0,7.36E-02,6.17E-01,0,0,0,2.39E-01,1.43E-01,5.33E-03,0,0,0,0.035237669,1.61E-01,0,0,0.425,0,0,1.82E-01,0,0,0,0,0,1
Centillion ,-1.11E-02,0,5.89E-01,5.63E-01,0,0,0,5.10E-01,1.20E-01,0,0,0,0,0.081982606,8.62E-02,0,0,0,0,0,0,0,0,0,0,0,1
Keda,-3.00E-02,0,5.15E-01,4.64E-01,-1.01E-01,-1.01E-01,0,2.58E-01,5.67E-01,5.33E-02,4.10E-02,0,4.10E-02,0.116308527,1.54E-02,-2.72E-01,-1.22E-01,1.40E-01,0,1.60E-01,0,1.94E-01,0,5.57E-02,2.48E-01,1.04E-01,1
IPCO,-1.69E-02,0,0,5.98E-01,0,0,0,1.95E-01,1.66E-01,8.00E-02,0,0,0,0.207237669,2.32E-01,0,0,0,1.41E-01,2.66E-01,0,0,1.13E-01,0,0,1.39E-01,1
RSH,-3.35E-02,0,5.15E-01,4.94E-01,-2.02E-02,-2.02E-02,0,2.39E-01,5.72E-01,4.80E-02,0,0,0,0.114139562,3.73E-02,0,-1.26E-01,9.11E-02,9.40E-02,0,1.37E-01,0,0,1.11E-01,0,3.48E-02,1
Sincere,-2.07E-02,0,2.21E-01,4.85E-01,0,0,0,2.77E-01,5.16E-01,5.87E-02,0,0,0,0.127773057,9.01E-03,-1.81E-01,-8.40E-02,1.03E-01,0,1.60E-01,0,1.16E-01,0,0,2.48E-01,0,1
C&G,-1.84E-02,0,0,2.05E-01,0,0,0,4.41E-02,4.15E-02,4.80E-02,0,0,0,0.098005881,2.57E-03,0,-3.82E-02,1.21E-01,0,0,0,0,0,0,0,0,0
OLAM,-2.92E-02,0,1.47E-01,9.18E-02,0,0,0,6.30E-02,5.07E-02,1.07E-02,0,0,0,0.044939247,1.54E-02,-1.81E-01,-4.20E-02,0,0,0,9.10E-02,0,0,0,0,0,0
M1,-2.22E-02,0,0,3.04E-01,-2.02E-02,-2.02E-02,0,3.65E-01,8.30E-02,0,0,0,0,0.117775873,7.08E-02,-1.21E-01,-3.44E-02,0,0,0,0,0,0,5.57E-02,0,0,0
