ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,Label
Anwell,0.155,0.161,0.005,0.042,0,0,0,0.063,0.137,0,0,0,0,49207,0.005,0,0,0.2,0,0,0,0,0,0.003,0,0,1
Goldtron,0.011,0.012,0.001,0.262,0,0,0,0.038,0.031,0.001,0,0,0,9894,0.125,0,0,0.7,0,0,0.004,0,0,0,0,0,1
Centillion ,0.038,0.046,0.008,0.239,0,0,0,0.081,0.026,0,0,0,0,23019,0.067,0,0,0,0,0,0,0,0,0,0,0,1
Keda,0.103,0.109,0.007,0.197,5,5,0,0.041,0.123,0.01,1,0,1,32657,0.012,0.18,0.32,0.23,0,0.003,0,0.005,0,0.001,0.002,0.003,1
IPCO,0.058,0.058,0,0.254,0,0,0,0.031,0.036,0.015,0,0,0,58188,0.18,0,0,0,0.003,0.005,0,0,0.003,0,0,0.004,1
RSH,0.115,0.122,0.007,0.21,1,1,0,0.038,0.124,0.009,0,0,0,32048,0.029,0,0.33,0.15,0.002,0,0.003,0,0,0.002,0,0.001,1
Sincere,0.071,0.075,0.003,0.206,0,0,0,0.044,0.112,0.011,0,0,0,35876,0.007,0.12,0.22,0.17,0,0.003,0,0.003,0,0,0.002,0,1
C&G,0.063,0.063,0,0.087,0,0,0,0.007,0.009,0.009,0,0,0,27518,0.002,0,0.1,0.2,0,0,0,0,0,0,0,0,0
OLAM,0.1,0.103,0.002,0.039,0,0,0,0.01,0.011,0.002,0,0,0,12618,0.012,0.12,0.11,0,0,0,0.002,0,0,0,0,0,0
M1,0.076,0.077,0,0.129,1,1,0,0.058,0.018,0,0,0,0,33069,0.055,0.08,0.09,0,0,0,0,0,0,0.001,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anwell,1.076388889,1.080536913,0.625,0.188340807,0,0,#DIV/0!,0.851351351,1.0703125,0,0,#DIV/0!,0,1.01890504,0.028089888,0,0,0.285714286,0,0,0,0,0,1,0,0,
Goldtron,0.076388889,0.080536913,0.125,1.174887892,0,0,#DIV/0!,0.513513514,0.2421875,0.066666667,0,#DIV/0!,0,0.20487017,0.702247191,0,0,1,0,0,1,0,0,0,0,0,
Centillion ,0.263888889,0.308724832,1,1.071748879,0,0,#DIV/0!,1.094594595,0.203125,0,0,#DIV/0!,0,0.476643061,0.376404494,0,0,0,0,0,0,0,0,0,0,0,
Keda,0.715277778,0.731543624,0.875,0.883408072,1,1,#DIV/0!,0.554054054,0.9609375,0.666666667,1,#DIV/0!,1,0.676212366,0.06741573,1,0.96969697,0.328571429,0,0.6,0,1,0,0.333333333,1,0.75,
IPCO,0.402777778,0.389261745,0,1.139013453,0,0,#DIV/0!,0.418918919,0.28125,1,0,#DIV/0!,0,1.20487017,1.011235955,0,0,0,1,1,0,0,1,0,0,1,
RSH,0.798611111,0.818791946,0.875,0.941704036,0.2,0.2,#DIV/0!,0.513513514,0.96875,0.6,0,#DIV/0!,0,0.663602104,0.162921348,0,1,0.214285714,0.666666667,0,0.75,0,0,0.666666667,0,0.25,
Sincere,0.493055556,0.503355705,0.375,0.923766816,0,0,#DIV/0!,0.594594595,0.875,0.733333333,0,#DIV/0!,0,0.742866609,0.039325843,0.666666667,0.666666667,0.242857143,0,0.6,0,0.6,0,0,1,0,
C&G,0.4375,0.422818792,0,0.390134529,0,0,#DIV/0!,0.094594595,0.0703125,0.6,0,#DIV/0!,0,0.569801632,0.011235955,0,0.303030303,0.285714286,0,0,0,0,0,0,0,0,
OLAM,0.694444444,0.691275168,0.25,0.174887892,0,0,#DIV/0!,0.135135135,0.0859375,0.133333333,0,#DIV/0!,0,0.261274693,0.06741573,0.666666667,0.333333333,0,0,0,0.5,0,0,0,0,0,
